"Mês/ano";"RO";"PA";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"GO";"DF";"IG";"Total"
"2007/Set";-;39;472;-;15;43;639;1036;1657;1063;1505;2183;237;-;-;8;1;-;-;-;8898
"2007/Out";4;66;497;-;5;190;590;1400;1851;1224;1622;3269;335;-;-;11;-;-;-;-;11064
"2007/Nov";2;41;426;-;11;111;427;1350;1142;969;912;1677;297;2;-;2;3;-;-;-;7372
"2007/Dez";1;11;134;-;3;24;268;271;846;377;554;1407;103;-;-;46;-;-;-;-;4045
"2008/Jan";-;44;50;1;9;27;-;627;739;605;758;1331;64;-;-;-;-;-;-;-;4255
"2008/Fev";-;38;185;1;3;156;43;637;1300;1039;849;2074;127;-;-;144;-;-;-;-;6596
"2008/Mar";-;40;436;-;38;139;413;981;1612;780;867;1604;180;-;-;2;1;-;-;-;7093
"2008/Abr";-;51;694;-;22;77;251;1036;1650;772;1061;1602;154;-;-;10;-;-;-;-;7380
"2008/Mai";-;16;340;-;8;196;332;697;1601;613;902;1663;189;-;-;6;-;-;-;-;6563
"2008/Jun";-;33;485;-;17;72;362;539;1368;395;1181;2264;268;-;-;7;1;-;-;-;6992
